concept_id	domain	zh	en	my	english_backtranslation	english_similarity	burmese_backtranslation	burmese_similarity	source_url	action
silver-379917c784f311ad	finance	建筑师	Architect	ဗိသုကာပညာရှင်များ	建筑师	1.0	建筑师	1.0	https://zh.wikipedia.org/wiki/%E5%BB%BA%E7%AD%91%E5%B8%88	REVIEW
silver-caf76992859b35e9	finance	中国银行	Bank of China	တရုတ်ဘဏ်	中国银行	1.0	中国银行	1.0	https://zh.wikipedia.org/wiki/%E4%B8%AD%E5%9B%BD%E9%93%B6%E8%A1%8C	REVIEW
silver-882c6f5dac17f6d7	finance	日本银行	Bank of Japan	ဂျပန်ဘဏ်	日本银行	1.0	日本银行	1.0	https://zh.wikipedia.org/wiki/%E6%97%A5%E6%9C%AC%E9%93%B6%E8%A1%8C	REVIEW
silver-aa70e3ead0308cab	finance	盐业银行	Bank of Salt Industry	ဆားလုပ်ငန်း ဘဏ်	盐业银行	1.0	盐业银行	1.0	https://zh.wikipedia.org/wiki/%E7%9B%90%E4%B8%9A%E9%93%B6%E8%A1%8C	REVIEW
silver-9fd77a5970018215	finance	董事会	Board of directors	ဘုတ်အဖွဲ့	董事会	1.0	董事会	1.0	https://zh.wikipedia.org/wiki/%E8%91%A3%E4%BA%8B%E4%BC%9A	REVIEW
silver-e765efb503494991	finance	资本主义	Capitalism	အရင်းရှင်ဝါဒ	资本主义	1.0	资本主义	1.0	https://zh.wikipedia.org/wiki/%E8%B5%84%E6%9C%AC%E4%B8%BB%E4%B9%89	REVIEW
silver-99569f1207db2504	finance	中国石油	China National Petroleum	တရုတ်နိုင်ငံ ရေနံ	中国国家石油	0.8	石油在中国	0.8	https://zh.wikipedia.org/wiki/%E4%B8%AD%E5%9B%BD%E7%9F%B3%E6%B2%B9	REVIEW
silver-eb834b638c78ad8f	finance	商业银行	Commercial banks	စီးပွားရေးဘဏ်များ	商业银行	1.0	商业银行	1.0	https://zh.wikipedia.org/wiki/%E5%95%86%E4%B8%9A%E9%93%B6%E8%A1%8C	REVIEW
silver-62df17686451e543	finance	文化大革命	Cultural Revolution	ယဉ်ကျေးမှု တော်လှန်ရေး	文化革命	0.8889	文化革命	0.8889	https://zh.wikipedia.org/wiki/%E6%96%87%E5%8C%96%E5%A4%A7%E9%9D%A9%E5%91%BD	REVIEW
silver-32db9c20c298e384	finance	货币市场	Currency market	ငွေကြေးစျေးကွက်	货币市场	1.0	货币市场	1.0	https://zh.wikipedia.org/wiki/%E8%B4%A7%E5%B8%81%E5%B8%82%E5%9C%BA	REVIEW
silver-e3ed8711302af8ff	finance	刚果民主共和国	Democratic Republic of the Congo	ဒီမိုကရေစီနိုင်ငံ ကွန်ဂို	刚果民主共和国	1.0	刚果民主共和国	1.0	https://zh.wikipedia.org/wiki/%E5%88%9A%E6%9E%9C%E6%B0%91%E4%B8%BB%E5%85%B1%E5%92%8C%E5%9B%BD	REVIEW
silver-12990466bff692a5	finance	经济危机	Economic crisis	စီးပွားရေး အကျပ်အတည်း	经济危机	1.0	经济危机	1.0	https://zh.wikipedia.org/wiki/%E7%BB%8F%E6%B5%8E%E5%8D%B1%E6%9C%BA	REVIEW
silver-35598cb3f62041c2	finance	经济增长	Economic growth	စီးပွားရေးတိုးတက်မှု	经济增长	1.0	经济增长	1.0	https://zh.wikipedia.org/wiki/%E7%BB%8F%E6%B5%8E%E5%A2%9E%E9%95%BF	REVIEW
silver-c7a09706c4017db5	finance	经济衰退	Economic recession	စီးပွားရေးကျဆင်းမှု	经济衰退	1.0	经济衰退	1.0	https://zh.wikipedia.org/wiki/%E7%BB%8F%E6%B5%8E%E8%A1%B0%E9%80%80	REVIEW
silver-a1243eb2cebf4bb4	finance	萨尔瓦多	El Salvador	ဆာလ်ဗားဒို	萨尔瓦多	1.0	萨尔瓦多	1.0	https://zh.wikipedia.org/wiki/%E8%90%A8%E5%B0%94%E7%93%A6%E5%A4%9A	REVIEW
silver-ab4888dd0868575b	finance	金融危机	Financial crisis	ငွေကြေး အကျပ်အတည်း	金融危机	1.0	金融危机	1.0	https://zh.wikipedia.org/wiki/%E9%87%91%E8%9E%8D%E5%8D%B1%E6%9C%BA	REVIEW
silver-7466282f5bafa148	finance	金融机构	Financial institutions	ငွေကြေးအဖွဲ့အစည်းများ	金融机构	1.0	金融机构	1.0	https://zh.wikipedia.org/wiki/%E9%87%91%E8%9E%8D%E6%9C%BA%E6%9E%84	REVIEW
silver-507b7d27764600ac	finance	湖北省	Hubei Province	ဟူဘိုင်းပြည်နယ်	湖北省	1.0	湖北省	1.0	https://zh.wikipedia.org/wiki/%E6%B9%96%E5%8C%97%E7%9C%81	REVIEW
silver-8ad924324aac23a9	finance	保险公司	Insurance companies	အာမခံကုမ္ပဏီများ	保险公司	1.0	保险公司	1.0	https://zh.wikipedia.org/wiki/%E4%BF%9D%E9%99%A9%E5%85%AC%E5%8F%B8	REVIEW
silver-0fe4d4fc364d3c99	finance	保险合同	Insurance contracts	အာမခံစာချုပ်	保险合同	1.0	保险合同	1.0	https://zh.wikipedia.org/wiki/%E4%BF%9D%E9%99%A9%E5%90%88%E5%90%8C	REVIEW
silver-d50fbb254af6e0ee	finance	国际投资	International investment	နိုင်ငံတကာ ရင်းနှီးမြှုပ်နှံမှု	国际投资	1.0	国际投资	1.0	https://zh.wikipedia.org/wiki/%E5%9B%BD%E9%99%85%E6%8A%95%E8%B5%84	REVIEW
silver-ec5ec4c330f9404c	finance	国际空间站	International Space Station	နိုင်ငံတကာ အာကာသစခန်း	国际空间站	1.0	国际空间站	1.0	https://zh.wikipedia.org/wiki/%E5%9B%BD%E9%99%85%E7%A9%BA%E9%97%B4%E7%AB%99	REVIEW
